principal_name_En,nationality,city,agency_type,status,activity,date
Vereinigte papierwarenfabriken gmbh,الماني,جده,وكالة توزيع,قائمة,منتجات الموكل من المستلزمات الطبية من أنظمة الحواجز المعقمة (مواد التغليف / العبوات الشفافة)، والأشرطة اللاصقة، وملحقات الصواني، وملحقات الحاويات، والأكياس الواقية من الغبار، وأغطية حماية الأدوات، والأقلام ذات الرأس النسيجي، وصناديق النقل، وسلال النقل الخاصة بتجهيز المستشفيات وفق العقد,2020
Efirst group sp.z..o.o.s.k,بولندي,جده,وكالة توزيع,قائمة,منتجات الموكل من المنتجات الطبية والعشبية والمكملات الغذائية وأدوات التجميل وفق العقد,2020
Calrose rice ltd,بلغاري,جده,وكالة تجارية,قائمة,منتجات الموكل من المواد الغذائية والأرز والزيوت والشوكولاتة والحليب المجفف والسائل وفق العقد تحت العلامة التجارية ( صنوايت ),2020
General medical merate,ايطالي,جده,وكالة توزيع,قائمة,منتجات الموكل من جميع اجهزة  الاكس راي مع قطع الغيار ذات الصلة وفق العقد,2020
Henriques & henriques sa,برتغاليه,جده,وكالة توزيع,قائمة,"منتجات الموكل من خزانات الارتجاع,أنظمة المطرقة المائية و أوعية الفلاتر المائية  وفق العقد .",2020
Ste bayrem trading a,تونسي,جده,وكالة توزيع,قائمة,منتجات الموكل من زيت الزيتون وفق العقد,2020
Lucas oil products inc,امريكي,جده,وكالة توزيع,قائمة,منتجات الموكل من زيوت التشحيم  وفقاً للعقد,2020
Nissan middle east fze,اماراتي,جده,وكالة توزيع,قائمة,منتجات الموكل من سيارات انفينيتي وقطع غيارها وصيانتها .,2020
Gerum hydro gmph,الماني,جده,وكالة توزيع,قائمة,"منتجات الموكل من كافة أنواع المعالجة الابتدائية لمحطات الصرف الصحي والصفايات الميكانيكية والصفابات الدقيقة والكبيرة لمياه الصرف الصحي ,الهوايات السطحية و معدات تجفيف الماء من الحمأة .",2020
"Suzhou henxiang import and export co., ltd.",الصين الشعبيه,جده,وكالة توزيع,قائمة,منتجات الموكل من مجموعة فرش تنظيف الأجهزة الطبية وفق العقد,2020
Hipokrat tbbi mlzemeler imalat ve pazar lama a.s,تركي,جده,وكالة تجارية,قائمة,منتجات الموكل من مسامير وشرائح للعظام ذات استخدام مرة واحدة وفق العقد,2020
Nural diş ticaret ltd.şti,تركي,جده,وكالة توزيع,قائمة,منتجات الموكل من مستحضرات التجميل والعناية بالبشرة و Sheida حسب العقد.,2020
Rathi transpower private limited,هندي,جده,وكالة توزيع,قائمة,منتجات الموكل من معدات نقل الطاقة الميكانيكية والقارنات المرنه,2020
Arvand swiss gmbh,سويسري,جده,وكالة توزيع,قائمة,منتجات الموكل مواد تعقيم وفق العقد,2020
Compania oleicola siglo xxi,اسباني,جده,وكالة امتياز,قائمة,وكالة الشركة في جميع منتجاتها التجميلية و الغذائية,2020
Skf eurotade ab,سويديه,الدمام,,قائمة,,2019
Master tech,اماراتي,الدمام,,قائمة,,2019
Le petit-fils de l.u chopard & cie s.a ,سويسري,الرياض,,قائمة,,2019
Medency srl,ايطالي,الرياض,,قائمة,,2019
Novaerus ( ireland ) ltd,ايرلندي,الرياض,,قائمة,,2019
"Megagen implant co., ltd.",كوريه الجنوبيه,الرياض,,قائمة,,2019
Roberto cavalli s.p.a,ايطالي,الرياض,,قائمة,,2019
Sabre instrument valves limited,بريطاني,الرياض,,قائمة,,2019
Frostbite ice cream l.l.c,اماراتي,الرياض,,قائمة,,2019
Kockar makina kimya sanayi ve ticaret a.s,تركي,الرياض,,قائمة,,2019
Cray inc,امريكي,الرياض,,قائمة,,2019
P.t. eagle indo pharma,اندونيسي,جده,,قائمة,,2019
Vimar tarim ve hayvanilik san. tic. a.s,تركي,الرياض,,قائمة,,2019
"Zeigler bros., inc",امريكي,الرياض,,قائمة,,2019
Genereach biotechnology corporation,صينيه وطنيه - تايوان,الرياض,,قائمة,,2019
Mpa veterinary medicines and additives ,اسباني,الرياض,,قائمة,,2019
Vinterla logistics pvt ltd,هندي,الدمام,,قائمة,,2019
Brainlab sales gmbh,الماني,الرياض,,قائمة,,2019
"Non-change enterprise co., ltd",تايوانيه,جده,,قائمة,,2019
Rigas farmaceitiska fabrika,لاتيفيا,الرياض,,قائمة,,2019
Haier overseas electric appliances corp. ltd,الصين الشعبيه,الدمام,,قائمة,,2019
"Laboratories conda, s.a ",اسباني,الرياض,,قائمة,,2019
Bmg pharma s. r. l,ايطالي,الرياض,,قائمة,,2019
Vidizmo llc.u.s. company,امريكي,الرياض,,قائمة,,2019
Diamed gmbh,سويسري,الرياض,,قائمة,,2019
Getinge group middle east fz-llc,اماراتي,الرياض,,قائمة,,2019
Belmar ltd company,اوكراني,جده,,قائمة,,2019
Co co dip juice and chocolate ,بحريني,الرياض,,قائمة,,2019
"Citadel casing solutions,llc",امريكي,الدمام,,قائمة,,2019
Pirelli tyre (suisse),سويسري,جده,,قائمة,,2019
Rs industria e comercio de cosmeticos e perfurmaria ltda.,برازيلي,الرياض,,قائمة,,2019
Phc corporation ,ياباني,الدمام,,قائمة,,2019
Biguine make up ,فرنسي,الدمام,,قائمة,,2019
Medline middle east fze,اماراتي,جده,,قائمة,,2019
Lexel,ارجنتيني,جده,,قائمة,,2019
Moishi limited,بريطاني,الرياض,,قائمة,,2019
East coast petroleum services,مصري,الدمام,,قائمة,,2019
"Ingenieria y tecnicas clinicas , s.a(itc,s.a)",اسباني,الرياض,,قائمة,,2019
Aeg power solutions gmbh,الماني,الدمام,,قائمة,,2019
Italmatch chemicals s.p.a,ايطالي,الدمام,,قائمة,,2019
G.b.a sri engineering and construction,ايطالي,الدمام,,قائمة,,2019
Barcom management and operation of restaurants activities llc,بحريني,الرياض,,قائمة,,2019
M. r. speciality chemicals  pvt. ltd.,هندي,الدمام,,قائمة,,2019
Copirel,فرنسي,الرياض,,قائمة,,2019
Sonva mod s.a,رومانيه,الرياض,,قائمة,,2019
Laboratoire l ideal parisien ltd,بولندي,جده,,قائمة,,2019
Digiterm kft. ,مجري,الرياض,,قائمة,,2019
"Vertech oild & gas technology co., ltd",الصين الشعبيه,الدمام,,قائمة,,2019
Baxter ag ,سويسري,الرياض,,قائمة,,2019
Pal international ltd,بريطاني,الرياض,,قائمة,,2019
Free s.a.l,لبناني,الدمام,,قائمة,,2019
Bakker oilfield supply coevorden bv,هولندي,الدمام,,قائمة,,2019
Mr global (hk) limited ,الصين الشعبيه,الرياض,,قائمة,,2019
Bgp products gmbh ,سويسري,الرياض,,قائمة,,2019
Pfizer export b.v,هولندي,الرياض,,قائمة,,2019
Plasti products inc,امريكي,الدمام,,قائمة,,2019
Nashaya boutique private limited,هندي,جده,,قائمة,,2019
Unibeleza indústria e comércio de cosméticos ltda,برازيلي,الرياض,,قائمة,,2019
Nordic air filtration a/c,دنمركيه,الدمام,,قائمة,,2019
"Tol, inc.",امريكي,الرياض,,قائمة,,2019
Officine ambrogio melesi srl ,ايطالي,الدمام,,قائمة,,2019
Westfield medical ltd,بريطاني,الرياض,,قائمة,,2019
Itt cannon llc d/b/a biw connector systems,امريكي,الدمام,,قائمة,,2019
Laboratorios tornel s.a,مكسيكيه,جده,,قائمة,,2019
Arbor networks uk ltd,بريطاني,الرياض,,قائمة,,2019
Lenovo global technology hk ltd.,هونغ كونغيه,الدمام,,قائمة,,2019
Mum's peri peri,بريطاني,جده,,قائمة,,2019
Clock spring company ,امريكي,الرياض,,قائمة,,2019
Cilek mobilya a.s ,تركي,الرياض,,قائمة,,2019
"Hangzhou jinmeng composites co.,ltd  ",الصين الشعبيه,الرياض,,قائمة,,2019
Afnanteba group,تركي,الرياض,,قائمة,,2019
Gida international group,تركي,الرياض,,قائمة,,2019
N.n.impex,هندي,الرياض,,قائمة,,2019
Tk corporation,كوريه الجنوبيه,الدمام,,قائمة,,2019
Einstein restaurant,كويتي,جده,,قائمة,,2019
Einstein restaurant,كويتي,جده,,قائمة,,2019
Einstein restaurant,كويتي,جده,,قائمة,,2019
Micoperi spa,ايطالي,الدمام,,قائمة,,2019
Retaj pharmaceuticals industries co.,اردني,الرياض,,قائمة,,2019
Zooba eats inc,موريشس,الدمام,,قائمة,,2019
Mahindra & mahindra ltd,هندي,الدمام,,قائمة,,2019
Macarthys laboratories lited,بريطاني,الرياض,,قائمة,,2019
Global art&creative(overseas) sdn.bhd,ماليزي,الرياض,,قائمة,,2019
Arion ilac san(bavet ilac san),تركي,جده,,قائمة,,2019
Tud sdn bhd,ماليزي,الرياض,,قائمة,,2019
Enotec gmbh,الماني,الدمام,,قائمة,,2019
Shanghai grandway telecom tech. co. ltd,الصين الشعبيه,الرياض,,قائمة,,2019
Ing sumetzberger gmbh,نمساوي,الرياض,,قائمة,,2019
Style rent sdn. bhd,ماليزي,الرياض,,قائمة,,2019
Thehagee co ltd,كوريه الجنوبيه,جده,,قائمة,,2019
"A&l o.c.innovations,inc d.b.a  cool capp",امريكي,جده,,قائمة,,2019
Ramcopharm ltd,بلغاري,الرياض,,قائمة,,2019
Operatec mobile accessories,الصين الشعبيه,الرياض,,قائمة,,2019
Hanan zhongsheng animal pharmaceutical co. ltd,الصين الشعبيه,الرياض,,قائمة,,2019
Smith and nephew,اماراتي,الرياض,,قائمة,,2019
Pt prowell energi indonesia,اندونيسي,الدمام,,قائمة,,2019
Missoni spa,ايطالي,الرياض,,قائمة,,2019
Societe de therapetique marocaine,مغربي,الرياض,,قائمة,,2019
Episurf europe ab,سويديه,الرياض,,قائمة,,2019
Purple surgical international limited,بريطاني,جده,,قائمة,,2019
Dagatronics corporation,كوريه الجنوبيه,الدمام,,قائمة,,2019
Acino pharma ag,سويسري,الرياض,,قائمة,,2019
Dobla logistic company,بلجيكي,جده,,قائمة,,2019
Andreas fahl medizintechnik-vertrieb gmbh,الماني,الرياض,,قائمة,,2019
Viavi solutions deutschland gmbh,الماني,جده,,قائمة,,2019
Jeil pharmaceutical co.ltd,كوريه الجنوبيه,جده,,قائمة,,2019
Rukini inc,امريكي,جده,,قائمة,,2019
The himalaya drug company,هندي,الرياض,,قائمة,,2019
Okuyucular kozmetik (loris perfume ),تركي,جده,,قائمة,,2019
Klimaoprema,كرواتي,الرياض,,قائمة,,2019
Quorion data systems gmbh,الماني,الرياض,,قائمة,,2019
"Ningbo david medical device co.,ltd.",الصين الشعبيه,الرياض,,قائمة,,2019
Jiangsu spanl co.,الصين الشعبيه,الرياض,,قائمة,,2019
Inos gmbh&co.kg ,الماني,الدمام,,قائمة,,2019
Cts netherlands bv ,هولندي,الدمام,,قائمة,,2019
Solveda optimum solving optimum recovery,مصري,الرياض,,قائمة,,2019
Ultrasafe uk ltd,بريطاني,جده,,قائمة,,2019
Yurim medical co. ltd,كوريه الجنوبيه,الرياض,,قائمة,,2019
Overseas for import and export,مصري,الرياض,,قائمة,,2019
S&g biotech inc.,كوريه الجنوبيه,الرياض,,قائمة,,2019
Rumex international co,امريكي,الرياض,,قائمة,,2019
Tatera perfumes company,كويتي,الرياض,,قائمة,,2019
Puyang chengxin oilfield chemical co. ltd.,الصين الشعبيه,الدمام,,قائمة,,2019
International canadian company investment,اردني,الرياض,,قائمة,,2019
Al-rashid trading,باكستاني,الرياض,,قائمة,,2019
Highhway special construction systems s.a. ,يونانيه,الرياض,,قائمة,,2019
Kumho tire co,كوريه الجنوبيه,الدمام,,قائمة,,2019
Flo magazacilik ve pazarlama a.s.,تركي,الرياض,,قائمة,,2019
Dmw corporation ,ياباني,الرياض,,قائمة,,2019
Capsa solutions llc,امريكي,جده,,قائمة,,2019
St&h corporation ,كوريه الجنوبيه,الدمام,,قائمة,,2019
Medsil jsc,روسيه,الرياض,,قائمة,,2019
Sorrento holding sal company,لبناني,الرياض,,قائمة,,2019
Innohome oy,فنلنديه,الدمام,,قائمة,,2019
Riwa health ug,الماني,جده,,قائمة,,2019
Tannermedico a/s,دنمركيه,الرياض,,قائمة,,2019
Medel international srl,ايطالي,الرياض,,قائمة,,2019
Churchill drilling tools rentals limited,اماراتي,الدمام,,قائمة,,2019
Breas medical ab,سويديه,الرياض,,قائمة,,2019
Alphafacts health solution bvba,هندي,الرياض,,قائمة,,2019
Daiwha,كوريه الجنوبيه,جده,,قائمة,,2019
Juniper networks international,هولندي,الرياض,,قائمة,,2019
Bleu line s.r.l,ايطالي,الرياض,,قائمة,,2019
Farqad food supply company,اردني,الرياض,,قائمة,,2019
Forty lines,مصري,الرياض,,قائمة,,2019
Hublot sa geneve,سويسري,جده,,قائمة,,2019
Hublot sa geneve,سويسري,جده,,قائمة,,2019
Hublot sa geneve,سويسري,جده,,قائمة,,2019
Ata fen veteriner malzemeleri hayvancılık paz. san. ve tic a.s,تركي,الرياض,,قائمة,,2019
Nutrabolics inc,كندي,الرياض,,قائمة,,2019
Dr.schar ag/spa,ايطالي,الرياض,,قائمة,,2019
"Woo young medical co.,ltd",كوريه الجنوبيه,الرياض,,قائمة,,2019
Jiangsu kangbao medical equipment co.,الصين الشعبيه,الرياض,,قائمة,,2019
Colorado biolabs inc.,امريكي,الرياض,,قائمة,,2019
Direx solutions limited,بريطاني,الرياض,,قائمة,,2019
Conmed corporation,امريكي,الرياض,,قائمة,,2019
Rockwool technical hnsulation ,هولندي,الدمام,,قائمة,,2019
Rise global holdings ltd,ايرلندي,الرياض,,قائمة,,2019
Mettler-toledo gmbh process analytics,سويسري,الدمام,,قائمة,,2019
Super engineering industry l.l.c,اماراتي,الدمام,,قائمة,,2019
"Tianjin medis medical device co ,ltd",الصين الشعبيه,الرياض,,قائمة,,2019
Elide fire ball pro co ltd,تايلانديه,الدمام,,قائمة,,2019
Huawei technologies co.ltd,الصين الشعبيه,الدمام,,قائمة,,2019
"Cas medical systems, inc.",امريكي,الرياض,,قائمة,,2019
Olympus europe se& co. kg ,الماني,الرياض,,قائمة,,2019
Howden compressors,بريطاني,الدمام,,قائمة,,2019
Alwahdania general trading co llc,اماراتي,الرياض,,قائمة,,2019
Ray oil tool ,بريطاني,الدمام,,قائمة,,2019
Le petit-fils de l.-u. chopard & cie s.a.,سويسري,الرياض,,قائمة,,2019
Alco valves group,بريطاني,الدمام,,قائمة,,2019
Mcmenon engineering services,بريطاني,الدمام,,قائمة,,2019
Midco oil field services free zone,مصري,الدمام,,قائمة,,2019
Elrich lifesciences pte ltd,سنغافوريه,الرياض,,قائمة,,2019
Wts spa,ايطالي,الرياض,,قائمة,,2019
Seven production and events  middie east fz-llc,اماراتي,الرياض,,قائمة,,2019
Endo-flex gmbh,الماني,الرياض,,قائمة,,2019
Rocamed,فرنسي,الرياض,,قائمة,,2019
Framesi s.p.a,ايطالي,الرياض,,قائمة,,2019
Howden roots llc,امريكي,الدمام,,قائمة,,2019
Natural serenity ltd,بريطاني,الرياض,,قائمة,,2019
Hewlett - packard europe b.v,سويسري,الدمام,,قائمة,,2019
Gulf inject llc,اماراتي,الرياض,,قائمة,,2019
Cinco corporation ,فلبيني,الرياض,,قائمة,,2019
"Transmedics, inc.",امريكي,الرياض,,قائمة,,2019
Guang dong ldnio electronics,الصين الشعبيه,الرياض,,قائمة,,2019
Dongguan jiliwang intllignt electronic,الصين الشعبيه,الرياض,,قائمة,,2019
Samsung electronics co. ltd.,كوريه الجنوبيه,جده,,قائمة,,2019
Jaguar land rover limited,بريطاني,الرياض,,قائمة,,2019
Anhui greenland biotech co . ltd,الصين الشعبيه,الرياض,,قائمة,,2019
Boost juice franchises pty ltd ,استرالي,الرياض,,قائمة,,2019
Walmark a. s ,تشيكي,الرياض,,قائمة,,2019
"Shantou new starlight plastics co.,ltd",الصين الشعبيه,جده,,قائمة,,2019
Mhk medikal tekstil sanayi ve ticaret limited sirketi,تركي,الرياض,,قائمة,,2019
Carilex medical limited company,بريطاني,الرياض,,قائمة,,2019
Alfakher tobacco ,اماراتي,الرياض,,قائمة,,2019
Probody medical aps,دنمركيه,الرياض,,قائمة,,2019
Atlantic medical products,امريكي,الرياض,,قائمة,,2019
Tecfire middle east,اماراتي,الرياض,,قائمة,,2019
Above coffee shop ,كويتي,الدمام,,قائمة,,2019
Shanghai allocacoc industrial,الصين الشعبيه,الرياض,,قائمة,,2019
"Benxi beitai ductile cast iron pipes co.,ltd ",الصين الشعبيه,الرياض,,قائمة,,2019
The independent tobacco fzf,اماراتي,الرياض,,قائمة,,2019
Klybeck life sciences ag,سويسري,الرياض,,قائمة,,2019
Nutriforce antwerpen,بلجيكي,الرياض,,قائمة,,2019
Weifang qiangyuan chemical industry co. ltd.,الصين الشعبيه,الدمام,,قائمة,,2019
Peruvian pharmaceutical s.a.c ,بيرويه,الرياض,,قائمة,,2019
Gelato international . a free hold campany ,اماراتي,جده,,قائمة,,2019
"Hangzhou hikvision digital technology co, ltd",الصين الشعبيه,جده,,قائمة,,2019
Compagnie des cristalleries de saint-louis,فرنسي,جده,,قائمة,,2019
Austand edunburgh elevators pty ltd,استرالي,الرياض,,قائمة,,2019
Pergo medikal ve ilac san.a.s,تركي,الرياض,,قائمة,,2019
Tillotts pharma a.g,سويسري,الرياض,,قائمة,,2019
"Lufkin industries, llc",امريكي,الدمام,,قائمة,,2019
Vuab pharma a.s,تشيكي,الرياض,,قائمة,,2019
Exelits healthcare s.l.,اسباني,الرياض,,قائمة,,2019
Weifang qiangyuan chemical industry co.ltd,الصين الشعبيه,الدمام,,قائمة,,2019
Carpro korea industries,كوريه الجنوبيه,الرياض,,قائمة,,2019
St. jude medical coordination center bvba ,بلجيكي,الرياض,,قائمة,,2019
Medical process,فرنسي,الرياض,,قائمة,,2019
Coffee map,كويتي,الدمام,,قائمة,,2019
Kuzey saglik urunleri ve kimya sanayi a.s,تركي,الرياض,,قائمة,,2019
Orkila international  s .a .l .off - shore ,لبناني,الرياض,,قائمة,,2019
Invidia-medical gmbh & co kg,الماني,الرياض,,قائمة,,2019
"Mozo-grau, s.a",اسباني,الرياض,,قائمة,,2019
Hebei sinoah pharm -tech co ltd ,الصين الشعبيه,الرياض,,قائمة,,2019
Oes equipment l.l.c.,اماراتي,الدمام,,قائمة,,2019
Arbor networks uk ltd.,بريطاني,الرياض,,قائمة,,2019
Hanon spring company limited,الصين الشعبيه,الرياض,,قائمة,,2019
Norel s.a,اسباني,الرياض,,قائمة,,2019
Apothecary pharmaceuticals pvt. ltd.,هندي,الرياض,,قائمة,,2019
Carre blanc distribution sas,فرنسي,جده,,قائمة,,2019
Deosen bichemical ltd.,الصين الشعبيه,الدمام,,قائمة,,2019
Arsan kaucuk plastik makina sanayi ve ticaret a.s ,تركي,الرياض,,قائمة,,2019
Infinair arabaia co.ltd,اردني,الرياض,,قائمة,,2019
Unitech offshore as,نرويجيه,الدمام,,قائمة,,2019
Zi caffe s.p.a,ايطالي,الرياض,,قائمة,,2019
Acoustic data limited,سيشل,الدمام,,قائمة,,2019
Juventus  fc  s.p.a ,ايطالي,الدمام,,قائمة,,2019
Superior energy services l.lc,امريكي,الدمام,,قائمة,,2019
Novum pharma b.v ,هولندي,الرياض,,قائمة,,2019
Medisoft sa,بلجيكي,الرياض,,قائمة,,2019
Loran srl ,ايطالي,الرياض,,قائمة,,2019
Regen lap s.a.,سويسري,الرياض,,قائمة,,2019
Nexans france,فرنسي,جده,,قائمة,,2019
Commtel networks (fzc,اماراتي,الدمام,,قائمة,,2019
Virginia institute of finance,اماراتي,الرياض,,قائمة,,2019
"Shenzhen runtianzhi digital equipment co.,ltd. rtz",الصين الشعبيه,جده,,قائمة,,2019
Colt international llc,اماراتي,الرياض,,قائمة,,2019
Extense pharma,بلجيكي,الرياض,,قائمة,,2019
La molina s.r.l,ايطالي,الرياض,,قائمة,,2019
Pcb apps l.l.c,امريكي,الدمام,,قائمة,,2019
Network intelligence india pvt. nll,هندي,الرياض,,قائمة,,2019
Oca international inspection and control society s.a,اسباني,الدمام,,قائمة,,2019
Fanem ltda,برازيلي,الرياض,,قائمة,,2019
Commtel networks fzc,اماراتي,الرياض,,قائمة,,2019
Quantel medical s.a,فرنسي,الرياض,,قائمة,,2019
Miktell ltd ,بريطاني,الرياض,,قائمة,,2019
"Supreme machinery manufacturing co., ltd.",تايلانديه,الرياض,,قائمة,,2019
"Emisshield,inc",امريكي,الدمام,,قائمة,,2019
Lkc technologies,امريكي,الرياض,,قائمة,,2019
Godfrey phillips middle east dmcc,اماراتي,الرياض,,قائمة,,2019
Tty biopharm company limited,الصين الشعبيه,الرياض,,قائمة,,2019
Sk networks co.ltd,كوريه الجنوبيه,الدمام,,قائمة,,2019
Natalie group sdn bhd,ماليزي,الرياض,,قائمة,,2019
"Postle industries, inc.",امريكي,الدمام,,قائمة,,2019
Mmm  munchener  medizin  mechanik gmbh,الماني,جده,,قائمة,,2019
Colorjet india ltd,هندي,جده,,قائمة,,2019
Umedica laboratories pvt limited,هندي,الرياض,,قائمة,,2019
Duflon industries private limited,هندي,الدمام,,قائمة,,2019
Sarepta therapeutics inc,امريكي,الرياض,,قائمة,,2019
Innovative research development company,مصري,الرياض,,قائمة,,2019
Huawei technologies co.ltd,الصين الشعبيه,الرياض,,قائمة,,2019
Huawei technologies co.ltd,الصين الشعبيه,الرياض,,قائمة,,2019
Farmabase saude animal ltda,برازيلي,الرياض,,قائمة,,2019
Veterinary and agricultural products manufacturing company ltd (va),اردني,الرياض,,قائمة,,2019
Yamaha motor co ltd,ياباني,الرياض,,قائمة,,2019
Robis sl,اسباني,الرياض,,قائمة,,2019
Pelican manufacturing pty ltd,استرالي,الرياض,,قائمة,,2019
Company arganour s.l,اسباني,الرياض,,قائمة,,2019
Seven peacock pte.ltd,سنغافوريه,الرياض,,قائمة,,2019
Probyn international inc.,امريكي,الرياض,,قائمة,,2019
Sirsidynix,امريكي,الرياض,,قائمة,,2019
Dkhoon alemaratiyah fze,اماراتي,الرياض,,قائمة,,2019
Albors srl,ايطالي,الرياض,,قائمة,,2019
Al nakheel electonics equipment repairing,اماراتي,الدمام,,قائمة,,2019
Katsan katgut sanayi ve ticaret,تركي,الرياض,,قائمة,,2019
Hidracar sa,اسباني,الرياض,,قائمة,,2019
"Ventlab, llc",امريكي,الرياض,,قائمة,,2019
Liberta co. ltd,مصري,الرياض,,قائمة,,2019
Liberta co. ltd,مصري,الرياض,,قائمة,,2019
Berthold technologies gmbh & co,الماني,الدمام,,قائمة,,2019
Uralplast services,روسيه,الدمام,,قائمة,,2019
Suecal pharmaceuticals ,مصري,الرياض,,قائمة,,2019
Rapp bomek as ,نرويجيه,الرياض,,قائمة,,2019
"Interactive network technologies,inc",امريكي,الدمام,,قائمة,,2019
"Interactive network technologies,inc",امريكي,الدمام,,قائمة,,2019
Mylan pharma gmbh,سويسري,الرياض,,قائمة,,2019
Sanigma dis  ticaret ltd sti ,تركي,الرياض,,قائمة,,2019
Sanghai hilong drill pipe.co.ltd,الصين الشعبيه,الدمام,,قائمة,,2019
Curatia medical limited,الصين الشعبيه,جده,,قائمة,,2019
Denis brinicombe group ltd,بريطاني,الدمام,,قائمة,,2019
Laboratoires bailleul international,سويسري,الرياض,,قائمة,,2019
Nukamel productions b.v,هولندي,الرياض,,قائمة,,2019
Oska textilvertriebs gmbh,الماني,الرياض,,قائمة,,2019
Allosource,امريكي,الرياض,,قائمة,,2019
German oil tools gmbh ,الماني,الدمام,,قائمة,,2019
Novo klinik-service gmbh,الماني,الرياض,,قائمة,,2019
Medical devices group srl,ايطالي,الرياض,,قائمة,,2019
Dunu premium coffee and tea limited,كينيه,جده,,قائمة,,2019
Jiangsu world chemical industry co. ltd,الصين الشعبيه,الدمام,,قائمة,,2019
Cardinal health ireland unlimited company,ايرلندي,الرياض,,قائمة,,2019
Trend pharm for pharmaceuticals,مصري,جده,,قائمة,,2019
Unitech specialty material,الصين الشعبيه,الدمام,,قائمة,,2019
Wockhardt limited,هندي,الرياض,,قائمة,,2019
Middle east veterinary vaccines,مصري,الدمام,,قائمة,,2019
Vitafor n.v,بلجيكي,الرياض,,قائمة,,2019
Dora group limited,الصين الشعبيه,الرياض,,قائمة,,2019
Alpha max group limited,هونغ كونغيه,الرياض,,قائمة,,2019
I.j.tobacco industry- f.z.c,اماراتي,الرياض,,قائمة,,2019
A1 medical gmbh,الماني,الرياض,,قائمة,,2019
Migeca s.pa,بريطاني,الرياض,,قائمة,,2019
Pharcomed s.r.l,ايطالي,الرياض,,قائمة,,2019
Nutrivitality ltd,بريطاني,الرياض,,قائمة,,2019
Pharmaforte ltd,مجري,الرياض,,قائمة,,2019
Shenzhen mellow hope pharm industrial co. ltd,الصين الشعبيه,الرياض,,قائمة,,2019
La romana ,ايطالي,الرياض,,قائمة,,2019
Unicity international inc,امريكي,الرياض,,قائمة,,2019
Eurosets s.r.l,ايطالي,الرياض,,قائمة,,2019
Getinge middle east fz-llc,اماراتي,الرياض,,قائمة,,2019
Becton dickinson international (bd),بلجيكي,الرياض,,قائمة,,2019
Yiwu think tanks trading co.ltd,الصين الشعبيه,الرياض,,قائمة,,2019
"Innovex downhole solutions, inc.",امريكي,الدمام,,قائمة,,2019
Clearwell oilfield solutions ltd,بريطاني,الدمام,,قائمة,,2019
Hamouda industry trading est,اردني,الرياض,,قائمة,,2019
Ave & vetmedic doo beograd,يوغوسلافيه,الرياض,,قائمة,,2019
Amedtec medizintechnik aue gmbh,الماني,جده,,قائمة,,2019
"Buca, c,llc",امريكي,الدمام,,قائمة,,2019
Jiwontech co. ltd.,كوريه الجنوبيه,الرياض,,قائمة,,2019
"Yongsung electric co.,ltd ",كوريه الجنوبيه,الدمام,,قائمة,,2019
Sarstedt ag & co. kg,الماني,الدمام,,قائمة,,2019
Boditech med inc,كوريه الجنوبيه,الدمام,,قائمة,,2019
Atco pharma for pharmaceutical industries,مصري,جده,,قائمة,,2019
Bitar international sal,لبناني,جده,,قائمة,,2019
Classys inc,كوريه الجنوبيه,الرياض,,قائمة,,2019
Agras delic spa italy,ايطالي,الرياض,,قائمة,,2019
Shandong dongxin new materials technology co. ltd,الصين الشعبيه,الرياض,,قائمة,,2019
Shenzhen mismon technology co. limited,الصين الشعبيه,الرياض,,قائمة,,2019
Shenzhen mismon technology co. limited,الصين الشعبيه,الرياض,,قائمة,,2019
Tianjin victory oilfield equipment manufacturing,الصين الشعبيه,الدمام,,قائمة,,2019
"Micro-tech (nanjing) co.,ltd",الصين الشعبيه,جده,,قائمة,,2019
Electrolux appliances middle east dmcc,اماراتي,الرياض,,قائمة,,2019
Ferrer internacional s.a,اسباني,الرياض,,قائمة,,2019
Nutria hellas pc,يونانيه,الرياض,,قائمة,,2019
Mikel coffee company limited,بريطاني,جده,,قائمة,,2019
Ceps engineering s.a.s,كولمبي,الرياض,,قائمة,,2019
Omni vision gmbh ,الماني,الرياض,,قائمة,,2019
Vbr turbine partners,هولندي,الدمام,,قائمة,,2019
"Sertecpet business development, corp",امريكي,الدمام,,قائمة,,2019
Anhui medical technology co.ltd,الصين الشعبيه,جده,,قائمة,,2019
Anvil international,امريكي,الدمام,,قائمة,,2019
Hommar corporation bvi co,بريطاني,الرياض,,قائمة,,2019
Nuby asia pacific limited,امريكي,جده,,قائمة,,2019
Bioq pharma ltd.,بريطاني,الرياض,,قائمة,,2019
Sanluc international,بلجيكي,الرياض,,قائمة,,2019
Anco animal nurtrition competence gmbh,نمساوي,الرياض,,قائمة,,2019
Kurita europe gmbh,الماني,الدمام,,قائمة,,2019
Sopariwala exports ,هندي,جده,,قائمة,,2019
Hangzhou valued medtech co.ltd,الصين الشعبيه,الرياض,,قائمة,,2019
Thermo fisher scientific (ashfield),امريكي,الرياض,,قائمة,,2019
Justright surgical llc ,امريكي,الرياض,,قائمة,,2019
Xsens as ,نرويجيه,الدمام,,قائمة,,2019
"Tercel oilfield products usa ,llc,dba, rubicon oilfield international",امريكي,الدمام,,قائمة,,2019
Consilient health ltd,بريطاني,الرياض,,قائمة,,2019
